Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	12:07:51	12:07:51	12:07:51			12:07:51	12:07:51	12:07:51	12:07:51	12:07:51	12:07:53	12:07:53	12:07:53	12:07:53	12:07:53	12:07:53			12:07:54	12:07:54		00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
1	12:07:54	12:07:54	12:07:54	12:07:54	12:07:54	12:07:54	12:07:54	12:07:54	12:07:54	12:07:54	12:07:55	12:07:55	12:07:55	12:07:55	12:07:55	12:07:55			12:07:56	12:07:56		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
2	12:07:56	12:07:56	12:07:56	12:07:56	12:07:56	12:07:56			12:07:56	12:07:56	12:07:57	12:07:57	12:07:57	12:07:57	12:07:57	12:07:57			12:07:57	12:07:57		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
3	12:07:57	12:07:57	12:07:57	12:07:57	12:07:57	12:07:57			12:07:57	12:07:57	12:07:58	12:07:58	12:07:58	12:07:58	12:07:58	12:07:58			12:07:59	12:07:59		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
4	12:07:59	12:07:59	12:07:59	12:07:59	12:07:59	12:07:59			12:07:59	12:07:59	12:07:59	12:07:59	12:07:59	12:07:59	12:07:59	12:07:59			12:08:00	12:08:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
5	12:08:00	12:08:00	12:08:00	12:08:00	12:08:00	12:08:00			12:08:00	12:08:00	12:08:01	12:08:01	12:08:01	12:08:01	12:08:01	12:08:01			12:08:01	12:08:01		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
6	12:08:01	12:08:01	12:08:01	12:08:01	12:08:01	12:08:01			12:08:01	12:08:01	12:08:02	12:08:02	12:08:02	12:08:02	12:08:02	12:08:02			12:08:02	12:08:02		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
7	12:08:02	12:08:02	12:08:02	12:08:02	12:08:02	12:08:02			12:08:02	12:08:02	12:08:03	12:08:03	12:08:03	12:08:03	12:08:03	12:08:03			12:08:03	12:08:03		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
8	12:08:03	12:08:03	12:08:03	12:08:03	12:08:03	12:08:03			12:08:03	12:08:03	12:08:04	12:08:04	12:08:04	12:08:04	12:08:04	12:08:04			12:08:04	12:08:04		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
9	12:08:04	12:08:04	12:08:04	12:08:04	12:08:04	12:08:04			12:08:04	12:08:04	12:08:05	12:08:05	12:08:05	12:08:05	12:08:05	12:08:05			12:08:05	12:08:05		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
10	12:08:06	12:08:06	12:08:06	12:08:06	12:08:06	12:08:06	12:08:06	12:08:06	12:08:06	12:08:06	12:08:06	12:08:06	12:08:06	12:08:06	12:08:06	12:08:06	12:08:06	12:08:06	12:08:07	12:08:07		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01
